Expert,Region,P_10_2050,P_25_2050,P_50_2050,P_75_2050,P_90_2050,period
Mean,United States,0.31,0.94,1.6,2.08,2.66,90
TrMean,United States,0.49,0.91,1.53,2.04,2.64,90
Median,United States,0.5,1,1.5,2,2.5,90
1,World,0,1,2.2,2.5,4,40
2,World,2,2.5,3,3.5,4,40
3,World,1.5,2.2,3,3.5,4,40
4,World,2.72,2.85,3.02,3.17,3.34,40
5,World,1,1.5,2,2.5,3,40
6,World,0.1,0.4,1.6,4,5,40
7,World,2,2.2,2.8,2.9,3.3,40
8,World,0.5,1.5,2.5,3.5,4.5,40
9,World,3.5,4,4.5,5.5,6,40
10,World,1,2,3,3.5,4,40
11,World,1,2,3,4,5,40
12,World,-2,0.5,2,2.5,3,40
13,World,1,1.5,2,2.5,3,40
Mean,World,1.1,1.86,2.66,3.35,4.01,40
TrMean,World,1.17,1.8,2.59,3.23,3.92,40
Median,World,1,2,2.8,3.5,4,40
1,World,-3,0,1,2,3,90
2,World,1.5,2,2.5,3,3.5,90
3,World,1.5,2.1,2.7,3.1,3.5,90
4,World,2.12,2.23,2.34,2.46,2.56,90
5,World,0.5,1,1.5,2,2.5,90
6,World,0.1,0.3,1.5,4,5,90
7,World,1.4,1.6,2,2.3,2.6,90
8,World,0,1,2.3,3.5,4.5,90
9,World,3,3.5,4,5,5.5,90
10,World,1,2,3,3.5,4,90
11,World,0.5,1.5,2,3.5,4.5,90
12,World,-5,-1,1,2,2.5,90
13,World,1,1.25,1.5,2,2.5,90
Mean,World,0.36,1.34,2.1,2.95,3.55,90
TrMean,World,0.6,1.36,2.03,2.85,3.47,90
Median,World,1,1.5,2,3,3.5,90
